貨品編號,貨品名稱,單位
3010010,飛馬胡椒粉600g-30入,箱
3010014,飛馬白胡椒罐240G-12罐入,箱
3010100,飛馬黑胡椒-粗600G-24入,箱
3010110,飛馬黑胡椒粉600g-細24入,箱
3010120,飛馬黑胡椒粉345g(鐵罐)-,箱
3010203,飛馬辣粉600G<粗>２０入,箱
3010208,飛馬辣粉600G<細>２０包,箱
3010300,飛馬上咖哩粉600G-30入,箱
3010400,飛馬五香粉600G-30入,箱
3010503,飛馬(23)椒鹽粉600G-30入,箱
3010504,飛馬<24>胡椒鹽600G-30,箱
3010603,飛馬<上等>百草粉600G-1,箱
3010604,飛馬<正品>百草粉600G-1,箱
3010611,飛馬甘草粉600G-15入,箱
3010621,飛馬花椒粉600G-15入,箱
3010623,飛馬八角粉600G-15入,箱
3010629,飛馬肉桂粉600G-15入,箱
3010632,飛馬油桂粉600G-15入,箱
3010642,飛馬丁香粉600G-15入,箱
3010651,飛馬三奈粉600G-15入,箱
3010700,飛馬蒸肉粉600g-30入,箱
3010800,飛馬魯肉包-40入(滷包),箱
3010803,飛馬特級香蒜粉1K-12入,箱
3010905,飛馬*茶葉滷包-12大包1箱,箱
3020000,小磨坊(3)胡椒粉600G-12入,箱
3020003,小磨坊特調合白胡椒1K-12,箱
3020007,小磨坊*純正白胡椒1K-12入,箱
3020010,小磨坊胡椒粉30G-6小罐,盒
3020015,小磨坊純正白胡椒粉300g-1,箱
3020100,小磨坊黑胡椒粉600g-粗20,箱
3020103,小磨坊原粒白胡椒500G-20,箱
3020105,小磨坊黑胡椒粗1kg*12入,箱
3020109,小磨坊<原粒>黑胡椒500g-,箱
3020110,小磨坊黑胡椒粉600g-細20,箱
3020115,小磨坊黑胡椒(細)1KG-12入,箱
3020125,小磨坊黑胡椒粉320g-12入,箱
3020132,小磨坊粗黑胡椒30g-6小罐,盒
3020133,小磨坊鮮磨黑胡椒42G-6入,盒
3020134,小磨坊鮮磨白胡椒45G-6入,盒
3020142,小磨坊黑胡椒粉28G-6小罐,盒
3020144,小磨坊香蒜黑胡椒32G-6入,盒
3020200,小磨坊辣粉600G-粗20入,箱
3020210,小磨坊辣粉600G-細20入,箱
3020230,小磨坊匈牙利紅椒罐260G-,箱
3020233,小磨坊匈牙利紅椒粉1k-12,箱
3020241,小磨坊雞心辣粉1KG-12入,箱
3020253,小磨坊泡菜辣粉500g-12入,箱
3020300,小磨坊咖哩粉600G-12入,箱
3020312,小磨坊印度咖哩1KG-12入,箱
3020320,小磨坊印度咖哩罐260g-12,箱
3020330,小磨坊(小罐)27g咖哩粉6入,盒
3020332,小磨坊<素>咖哩粉1KG-12,箱
3020335,小磨坊印度咖哩粉25G-6入,盒
3020337,小磨坊特濃咖哩醬2.4K-6入,箱
3020400,小磨坊五香粉600G-12入,箱
3020500,小磨坊(1)胡椒鹽粉600G-12,箱
3020503,小磨坊(香濃)胡椒鹽600G-1,箱
3020512,小磨坊胡椒鹽1.5K-12入(鹹,箱
3020513,小磨坊百搭香草32G-6入,盒
3020522,小磨坊萬用胡椒鹽45g-6入,盒
3020527,小磨坊經典胡椒鹽45g-6入,盒
3020530,小磨坊*椒鹽罐*420G-12入,箱
3020534,小磨坊(小罐)蒜香胡椒鹽45,盒
3020536,小磨坊鹽酥雞椒鹽粉45G-6,盒
3020544,小磨坊檸檬椒鹽300G-20入,箱
3020550,小磨坊七味唐辛子300G-20,箱
3020556,小磨坊鹹酥雞椒鹽粉420g-1,箱
3020620,小磨坊甘草粉300G-12入,箱
3020624,小磨坊八角粉600g-12入,箱
3020627,小磨坊大紅八角粒500G-20,箱
3020631,小磨坊香濃肉桂粉1斤-12入,箱
3020640,小磨坊肉桂粉罐220G-12入,箱
3020643,小磨坊肉桂粉20G-6入,盒
3020704,小磨坊義大利香料罐120G-12入,箱
3020706,小磨坊義大利香料250G-12,箱
3020707,小磨坊(素食)義大利香料25,箱
3020710,小磨坊墨西哥香料罐300G-,箱
3020717,小磨坊墨西哥番椒粉300g-12入,箱
3020720,小磨坊荳蔻粉罐230G-12入,箱
3020723,小磨坊荳蔻粉1KG-12入,箱
3020754,小磨坊俄力岡(皮薩草)60G-,箱
3020755,小磨坊俄力岡葉250g12入,箱
3020763,小磨坊洋香菜葉250G-12入,箱
3020774,小磨坊薑黃粉34G-6入,盒
3020780,小磨坊香芹粉罐210G-12入,箱
3020782,小磨坊香芹粉１公斤-12入,箱
3020790,小磨坊羅勒罐100G-12入,箱
3020793,小磨坊(薑黃粉)1KG-12入,箱
3020794,小磨坊鬱金香(薑黃粉)300G-12入,箱
3020799,小磨坊法式香草味32g-6入,盒
3020810,小磨坊迷迭香粉罐190G-12,箱
3020813,小磨坊迷迭香粉1KG-12入,箱
3020823,小磨坊迷迭香葉-500G-10,箱
3020824,小磨坊迷迭香葉20G-6入,盒
3020830,小磨坊百里香粉罐190G-12,箱
3020833,小磨坊百里香粉1KG-12入,箱
3020845,小磨坊百里香葉罐500G-20,箱
3020860,小磨坊香蒜粉1KG-12入,箱
3020870,小磨坊香蒜粉罐300G-12入,箱
3020872,小磨坊香蒜粉**600g-12入,箱
3020874,小磨坊香蒜*粒*1k-12入,箱
3020885,小磨坊薑母粉罐210G-12入,箱
3020889,小磨坊薑母粉1K-12入,箱
3020900,小磨坊魯肉包12入(萬用滷,箱
3020915,小磨坊五香滷味包12G*12,箱
3020921,小磨坊*紅肉*(C)醃漬粉1KG,箱
3020923,小磨坊白肉醃漬粉(B) 1KG-,箱
3020925,小磨坊炸雞醃漬粉1K-12入,箱
3020940,小磨坊(水果酵素)嫩精1Ｋ-1,箱
3020950,小磨坊嫩精450G-12入,箱
3020982,小磨坊孜然粉260G-12罐入,箱
3020985,小磨坊日式芥茉海苔330G-,箱
3021101,小磨坊港式滷味粉1K-12入,箱
3021104,小磨坊西式炸雞粉1K-12入,箱
3021110,小磨坊泰式香茅-330G-12,箱
3021113,小磨坊黃金美式炸雞粉1K-1,箱
3023002,小磨坊玉米濃湯1KG-12入,箱
3023173,小磨坊普羅旺斯香草-300G-,箱
3023174,小磨坊普羅旺斯香草-1公斤-,箱
3023182,小磨坊西式椒鹽1公斤-12入,箱
3023194,小磨坊新疆孜然粉300g-12,箱
3023202,小磨坊<孜然粉>1KG-12入,箱
3023204,小磨坊新疆孜然粉1K-12入,箱
3023301,小磨坊日式照燒醬1.2K-15,箱
3023305,小磨坊金黃蔥油260ml-6入,箱
3023306,小磨坊*照燒醬2.4公斤-6入,箱
3023308,小磨坊金黃蒜油260ml-6入,箱
3030010,老公胡椒粉600g30入,箱
3030013,老公白胡椒椒 262G-12入,箱
3030015,<金純>老公純白胡椒粉30,箱
3030102,老公黑胡椒-粗600g-20入,箱
3030110,老公黑胡椒粉-細30入,箱
3030113,老公*A*胡椒鹽600g-30入,箱
3030115,老公胡椒鹽600g-30入,箱
3030117,老公胡椒鹽粉3斤-10包入,箱
3030200,老公咖哩粉600G-30入,箱
3030300,老公五香粉600G-30入,箱
3030303,老公<金五香粉>600G*30,箱
3030402,老公百草粉300G-40入,箱
3030412,老公甘草粉600G-20入,箱
3030421,老公肉桂粉600G-20入,箱
3030431,老公八角粉600G-20入,箱
3030441,老公花椒粉600G-20入,箱
3040112,松賀黑胡椒粉600g-細-20,箱
3040803,松賀薑母粉1K-12入,箱
3041510,信川雞心朝天椒粗300G-40,箱
3041512,信川雞心朝天椒*細300g-4,箱
3041514,信川野山椒粉*粗*300G-40,箱
3041517,信川野山椒粉*細*300G-40,箱
3041520,信川韓式辣椒粉300G-40入,箱
3042103,第一家椒鹽(普辣)3斤-10入,箱
3042106,第一家椒鹽(不辣)3斤-10入,箱
3042110,全家福椒鹽(普辣)3斤-10入,箱
3042120,全家福椒鹽(不辣)3斤-10入,箱
3042200,全家福調味香料10入,箱
3042202,第一家調味香料-10入,箱
3043000,三英朝天椒辣粉600G-粗30,箱
3043010,三英朝天椒辣粉<細>600G-,箱
3043027,松井麻辣辣粉<細>300g-4,箱
3043028,松井朝天雞心辣粉(粗)300G,箱
3043038,信川辣椒剪條*600G-15入,箱
3043044,信成辣椒剪條600g-30包,箱
3043057,原裝韓國辣粉1斤-20包入(,箱
3043064,壹食代韓式辣粉600G-30包,箱
3045114,道森印度咖哩粉453G-12入,件
30452054,味好美塔可粉-1k(墨西哥風味),件
3045206,味好美(牛排香料822g)-6罐,件
3045207,味好美(雞肉香草香料)652g,件
3055224,味好美紐澳良風味粉510g,罐
3051002,雙蝦牌魯肉粉1KG-20入,箱
3051010,雙蝦牌魯肉粉排50g30排,箱
3052000,工研辣味咖哩125g-10入,箱
3052020,工研甘味咖哩125g-10入,箱
3052022,工研<素咖哩125g>-10入,箱
3052030,工研中辣咖哩125g-10入,箱
3052037,工研蘋果咖哩1KG-12入,箱
3052040,工研<素食>咖哩220g-10,箱
3052042,工研辣味特濃咖哩250g-10,箱
3052044,工研甘味特濃咖哩250g-10,箱
3052060,工研蘋果咖哩塊125g-10入,箱
3052104,佛蒙特230g中辣咖哩10入-,箱
3052114,佛蒙特甜咖哩１KG-20包入,箱
3052118,佛蒙特(4)中辣咖哩1K-20入,箱
3052124,佛蒙特230g辣咖哩10入-6,箱
3052175,COCK綠咖哩醬500g-20包,件
3052176,COCK紅咖哩醬500g-20入,件
3054111,八角(  BB )-20包入,箱
3054203,松賀*花椒粒600G*24包入,箱
3054206,享記花椒油2公升-6入,箱
3054214,飛馬八角粒600G-24入,箱
30207851,小磨坊洋蔥粉1KG-12入,箱
30207921,小磨坊羅勒葉250g-12入,箱
30430242,松井朝天雞心辣粉(細)300g,箱
3052112-1,佛蒙特230g甜味咖哩10入-,箱
