貨品編號,貨品名稱,單位
1701010,日本珍珠菇425g24入,件
1701103,<脆>松茸大--2.87k-6入*,件
1701105,<脆>松茸425G-24入(福隆),件
1701550,南海富士螺肉300g48入,件
1701800,柳松菇425g24入,件
1701802,<大>柳松菇2.87k－６入,件
1702000,福隆草菇425g24入,件
1702003,福隆草菇*大罐**6入,件
1702100,福隆松茸(洋菇)425g24入,件
1702200,福隆金茸180G-24入,件
1702210,福隆金茸300G-24入,件
1702220,福隆金茸-大3KG-６入,件
1702402,福隆鳥蛋4號(大)425g-24入,件
1702500,香蘭玉米筍Ｓ425g-24入,件
1702550,香蘭玉米筍2.95k-大6入,件
1702600,香蘭白木耳罐350g24入,件
1703200,伍中金茸180G-24入,件
1703204,伍中<花瓜無易開>170g-2,件
1703207,飯友金茸3K-6入,件
1703401,飯友金茸300G-24入,件
1703409,飯友玉米筍2.95K-6入,件
1703413,飯友玉米筍425g-24入,件
1704533,福隆松茸片(洋菇片)2.8k-大,件
1704610,飯友紅毛丹(龍鳳果)565g-1,件
1705212,金礦什錦水果825G-24入,件
1705216,鮮蜜桔片850G-12入,件
1705225,蜜柑汁532cc-24入,箱
1705530,金礦水蜜桃825G-24入,件
1705620,富達鳳梨3K-大6入,件
1705650,糖鳳*鳳梨片565G-12入,件
1705802,迷你*鳳梨片830G-12入(富,件
1706400,飯友白木耳KKK-260g小24,件
1707104,銀杏(白果)290g-24入,件
1707310,河洛埃及豆(雞豆)425ml-24,件
1707412,<大湖>蘆薈塊３公斤-6入(,箱
1709200,烏鶖煉乳360g-小24入,箱
1709210,烏鶖煉乳(大)720G-24入,箱
1710000,雀巢三花奶水405g-48入,箱
1710100,荷花**奶水390g48入,箱
1710115,泰國雀巢三花奶水405g-48,箱
1711011,小磨坊椰奶400ml-12入,箱
1712003,易開(許)麵筋200g-24入,件
1713000,冠軍花生麵筋170g24入,件
1715000,日光瓜180g48入,件
1716010,味全麵筋3KG-6入,件
1716012,味全＜花生麵筋3KG-6入,件
1716020,易開味全花生麵筋170g24,件
1716100,易開味全花瓜-170g小24入,件
1716112,味全珍味花瓜-葫蘆瓶400g1,件
1716114,味全花瓜<圓切>3K-6入,件
1717000,福松脆瓜-玻璃390g-12入,箱
1717200,福松香筍-玻璃360g-12入,箱
1717310,福松破布子390g-12入(樹子,箱
1717313,誠泰-破布子(大)3K-4入(樹,箱
1717320,高慶泉甘樹子380g-12入**,箱
1717321,高慶泉甘樹子380g***,箱
1717330,高慶泉(大)3KG樹子4入,箱
1717400,福松脫皮辣椒450G-12入,箱
1717408,高慶泉剝皮辣椒3k-4入,箱
1717500,福松蔭瓜390G-12入,箱
1717600,福松條瓜390g12入,箱
1718006,金蘭(新)396g花生麵筋12入,件
1718012,金蘭(非基花生麵筋3K-6入,件
1718100,金蘭(新)396g香菇麵筋12入,件
1718110,金蘭脆瓜3KG-6入,件
1718112,金蘭(新)脆瓜396G-12入,件
1718122,金蘭(非基)麵筋3KG-6入,件
1718130,金蘭菜心3KG-6入,件
1718135,金蘭菜心396G-12入,件
1718140,金蘭玉筍絲2.8KG-6入,件
1718145,金蘭(新)玉筍絲340G-12入,件
1718160,金蘭剝皮辣椒450g-12入,箱
1718310,大茂*幼筍絲2.8KG-6入,件
1718313,大茂黑瓜3kg-6入,件
1718500,廣達香肉醬160g-24入,件
1718505,台糖香*辣*肉醬160g-24入,件
1718507,台糖五香肉醬160g-24入,件
1718510,味全辣味肉醬150g-24入,件
1719004,綠巨人清甜玉米粒340g-24,件
1719010,綠巨人玉米粒340G-24入,件
1719020,綠巨人玉米粒2.1k-大6入,件
1719022,綠巨人玉米粒680G-12罐入,件
1719102,綠巨人玉米醬-加工用418g-,件
1720006,牛頭金鑽玉米粒340G-24入,件
1720008,牛頭金鑽185g玉米粒-24入,件
1720010,牛頭牌玉米粒2.1k-大6入,件
1720032,牛頭特選玉米粒340g-24入,件
1720100,牛頭牌玉米醬24入418g,件
1720110,牛頭牌玉米醬2.95k-大6入,件
1720211,同興玉米醬410g-24入,件
1723016,牛寶玉米*醬*410g-24入,件
1723019,牛寶玉米粒(大)６入3kg,件
1723023,牛寶(甜)玉米粒(易開)340g-,件
1723040,寶馬玉米醬425g易開24入,件
1723045,寶馬玉米醬3kg-6入,件
